seed,variant,label,makespan_s,distance_m,energy_kwh,load_std_s,runtime_s
5,B5_no_SA,B5 w/o simulated annealing,3598.7601926829266,37821.43864,113.08395368073867,1878.8294228055936,0.4204918589994122
5,B6_no_bottleneck,B6 w/o bottleneck destroy,3593.3438024390243,37841.45778,114.39212834034406,1927.4335267396384,0.4859367959998053
5,B7_basic_operators,B7 basic operators only,3643.1312763888886,37375.69089,113.38265995989902,1988.0895352071043,0.2566242920001969
6,B1_Plain_ALNS,B1 Plain ALNS,3455.1500916666664,33272.396810000006,98.93439177341227,1688.1480237230382,0.8092010299997128
6,B2_Graph_Greedy,B2 Graph + Greedy,4160.641101333333,41020.28496999999,114.99613213282349,1658.2652833608981,0.000565616999665508
6,B3_Graph_ALNS,B3 Graph + ALNS (full),3486.2729125,30711.72197,90.07685653625951,1673.2733637992328,0.4729576560002897
6,B4_no_adaptive,B4 w/o adaptive weights,3459.606884615385,31337.028639999997,91.47740571726327,1716.0547048389803,0.4510648540008333
6,B5_no_SA,B5 w/o simulated annealing,3493.1194499999997,30446.08801,89.66804167211808,1672.526158240881,0.49876880000010715
6,B6_no_bottleneck,B6 w/o bottleneck destroy,3608.644987179487,36146.99971,103.95880753577968,1638.5492821395394,0.6148916540005303
6,B7_basic_operators,B7 basic operators only,3624.0820000000003,39178.86507,111.89588269652774,1833.6694767596478,0.3108283149995259
7,B1_Plain_ALNS,B1 Plain ALNS,3443.5587813333336,31783.814140000002,98.10034247233581,2009.8196436496485,0.6087233849993936
7,B2_Graph_Greedy,B2 Graph + Greedy,4218.8080125,42501.10324,119.07501452157825,2051.676144034433,0.000624481000158994
7,B3_Graph_ALNS,B3 Graph + ALNS (full),3562.6177048780482,36538.007,107.67777489323862,1667.145764472921,0.3924198840004465
7,B4_no_adaptive,B4 w/o adaptive weights,3602.3280847222227,34938.93756,102.68707989204866,1708.6178624841775,0.4169899400003487
7,B5_no_SA,B5 w/o simulated annealing,3605.0592249999995,33372.62581,99.86660817687185,1748.3921184905862,0.427862737000396
7,B6_no_bottleneck,B6 w/o bottleneck destroy,3586.3997759999997,35634.82164,106.4769288711679,1979.7411446954372,0.623801679999815
7,B7_basic_operators,B7 basic operators only,3622.9894609756097,34340.21067,103.00686762355433,1849.1552125227347,0.2841135690005103
8,B1_Plain_ALNS,B1 Plain ALNS,3553.7944071428574,34090.144589999996,103.75717741037248,1755.7049866079437,0.629758397999467
8,B2_Graph_Greedy,B2 Graph + Greedy,4605.5598375,40053.888170000006,114.98855860577807,1986.8316486305528,0.0008608979997006827
8,B3_Graph_ALNS,B3 Graph + ALNS (full),3487.6719388888887,34540.37861,104.85281057678978,1750.0,0.3371698410001045
8,B4_no_adaptive,B4 w/o adaptive weights,3480.645826829269,34620.46991,104.72411636744945,1819.3405398660252,0.3503175679998094
8,B5_no_SA,B5 w/o simulated annealing,3600.65596025641,35362.21739,107.43927916442553,1895.3891421024866,0.432705371999873
8,B6_no_bottleneck,B6 w/o bottleneck destroy,3581.8251358974353,34088.78909,104.20647711884786,1780.4493814764855,0.5248482570004853
8,B7_basic_operators,B7 basic operators only,3621.8849805555556,39461.48906,116.13293589963067,1884.8076824970765,0.24073692799993296
9,B1_Plain_ALNS,B1 Plain ALNS,3493.146158666667,30614.61694,92.54845476805872,2013.353856131604,0.6272453410001617
9,B2_Graph_Greedy,B2 Graph + Greedy,4312.690302439024,46503.16434,128.9505524769634,2084.728699375533,0.0006185479996929644
9,B3_Graph_ALNS,B3 Graph + ALNS (full),3594.854959722222,40245.59014,115.52845091627998,2116.268827441353,0.30481833100020594
9,B4_no_adaptive,B4 w/o adaptive weights,3594.854959722222,40245.59014,115.52845091627998,2116.268827441353,0.28154324800016184
9,B5_no_SA,B5 w/o simulated annealing,3560.289528571429,35041.362909999996,102.24650722003787,1959.2329493962682,0.43490517400005047
9,B6_no_bottleneck,B6 w/o bottleneck destroy,3538.632516666667,33399.93621000001,98.04235271227269,2086.5267192154524,0.4712695910002367
9,B7_basic_operators,B7 basic operators only,3601.4799708333335,35327.92994,103.51528041172664,2002.1472847920054,0.22672856200006208
10,B1_Plain_ALNS,B1 Plain ALNS,3492.5937435897436,32353.008039999997,97.3920421798832,1845.5605517023819,0.6673798609999722
10,B2_Graph_Greedy,B2 Graph + Greedy,4322.580357142857,39559.62147,112.48976077904042,1989.6215092323464,0.0005808870000691968
10,B3_Graph_ALNS,B3 Graph + ALNS (full),3570.3709768292683,37610.587490000005,110.12813837928503,2126.2863753502256,0.3874664559998564
10,B4_no_adaptive,B4 w/o adaptive weights,3484.4094682352943,34021.87784,101.33740297714647,1727.3082382713283,0.38511061200006225
10,B5_no_SA,B5 w/o simulated annealing,3509.905923529412,32029.042410000002,95.60623648664458,1994.0144808902467,0.37279952599965327
10,B6_no_bottleneck,B6 w/o bottleneck destroy,3584.514827777777,33390.79407,100.64587553771942,2028.1996326791898,0.4879692089998571
10,B7_basic_operators,B7 basic operators only,3577.0840749999998,32689.74904,97.47958740209597,1762.4113452880404,0.2880186960001083
11,B1_Plain_ALNS,B1 Plain ALNS,3470.5073717948712,32080.39666,93.00007249174398,1422.0913296972174,0.8426214049995906
11,B2_Graph_Greedy,B2 Graph + Greedy,5092.456613888889,42336.269369999995,116.6237369380871,1670.2825359800659,0.0005570920002355706
11,B3_Graph_ALNS,B3 Graph + ALNS (full),3547.408685714286,31213.75514,91.80386252952651,1216.488286010186,0.548569026000223
